id,name,position,team,projection,fb_salary
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,TE,SA,5.52,3300
Mg89OyTmItplfDaiI18qnQn6A-Kr,Brandon Barnes,TE,MEM,4.1,3100
MhEdk0XQnfjfHbj3AB3JlgfakHH9,Connor Davis,TE,BHM,3.95,3000
Moi9AWTLwLF-WmHNRk8tzww8hRT8,Scott Orndoff,TE,ORL,4.78,3000
Mljhybw7om52eXm6ZeD_ANOK77jn,Matt Weiser,TE,ORL,3.47,3000
MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,Connor Hamlett,TE,ARZ,4.18,3000
MmMr1PqQzXo0ZVHk39O2j4ktgFhu,Adrien Robinson,TE,MEM,2.61,4600
Mp30XHE6WaeCGjZAycOZ50NgWvu2,Evan Rodriguez,TE,SA,3.36,3000
Mmn17YhtJ2sO5nrF_20WT9BB6c_c,Busta Anderson,TE,BHM,2.62,3200
MkiXHB9MYn5EIMB45S7Fibn3RG3M,Sean Price,TE,ORL,2,3000
MmIr6_Tggdgd2yO-XQnxLDtzVPS1,Tanner Balderree,TE,SLC,1.35,3500
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,TE,SA,1.88,3000
