id,name,team,opponent,event_start,position,salary
Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,Stehly Reden,SA,SD,20:00 2019-02-24,TE,3000
MvqJnkN5sh8Byg8HsPF622BBTKGd,Bishop Sankey,SD,SA,20:00 2019-02-24,RB,3000
Mvj-Md_UANIB0mUeSN6xIge4-xEg,Laquvionte Gonzalez,SD,SA,20:00 2019-02-24,WR,3000
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,SA,SD,20:00 2019-02-24,TE,3000
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,SA,SD,20:00 2019-02-24,WR,6000
MvmXJXKw6X1sDtKBXVWEmd2Z0-kA,Shay Fields,SD,SA,20:00 2019-02-24,WR,3000
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,SD,20:00 2019-02-24,RB,3000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,SD,20:00 2019-02-24,WR,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,SD,20:00 2019-02-24,WR,5000
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,SD,20:00 2019-02-24,QB,5200
MtH3-LPouTERsZVdNt76JXxktD7N,Jake Hubenak,SA,SD,20:00 2019-02-24,QB,5000
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,SA,SD,20:00 2019-02-24,RB,4100
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",SA,SD,20:00 2019-02-24,RB,6400
MrshtMHFri_zur-OJxJEINLtw3FP,Isaiah Burse,SD,SA,20:00 2019-02-24,WR,3000
MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,Nelson Spruce,SD,SA,20:00 2019-02-24,WR,4800
Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,Ja'Quan Gardner,SD,SA,20:00 2019-02-24,RB,7000
MqG8mv-O0WxG7Ys9a-TXLeAlpKl4,Gary McKnight,SD,SA,20:00 2019-02-24,WR,3000
Mp30XHE6WaeCGjZAycOZ50NgWvu2,Evan Rodriguez,SA,SD,20:00 2019-02-24,TE,4300
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,ATL,BIR,16:00 2019-02-24,RB,3700
